time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
10:25:51.50,cam1,0,0,0,0,1,1
10:10:20.88,cam2,0,0,0,0,0,1
09:57:02.69,cam3,2,1,1,0,1,1
10:26:17.69,cam1,0,0,0,0,1,1
10:10:41.40,cam2,0,0,0,0,0,1
09:57:22.20,cam3,3,1,2,0,2,1
10:26:54.04,cam1,0,0,0,0,0,1
10:11:06.44,cam2,0,0,0,0,0,1
09:57:41.24,cam3,4,1,3,0,2,1
10:27:29.31,cam1,1,0,1,0,1,1
10:11:29.92,cam2,0,0,0,0,0,1
09:57:59.83,cam3,2,0,2,0,1,0
10:27:46.58,cam1,2,2,0,0,2,2
10:11:53.04,cam2,0,0,0,0,0,2
09:58:19.78,cam3,2,1,1,0,1,2
10:28:04.62,cam1,1,0,1,0,3,2
10:12:18.52,cam2,0,0,0,0,0,2
09:58:38.66,cam3,2,1,1,0,1,2
10:28:23.85,cam1,0,0,0,0,2,2
10:12:40.88,cam2,0,0,0,0,0,2
09:58:58.33,cam3,2,1,1,0,1,1
10:28:49.64,cam1,0,0,0,0,0,1
10:13:04.32,cam2,0,0,0,0,0,1
09:59:17.73,cam3,1,0,1,0,0,0
10:29:17.08,cam1,0,0,0,0,2,0
10:13:26.32,cam2,0,0,0,0,0,0
09:59:37.48,cam3,2,0,2,0,1,0
10:29:53.07,cam1,0,0,0,0,0,0
10:13:46.36,cam2,0,0,0,0,0,0
09:59:56.12,cam3,2,0,2,0,1,0
10:30:32.05,cam1,0,0,0,0,0,0
10:14:06.92,cam2,0,0,0,0,0,0
10:00:15.47,cam3,1,0,1,0,0,0
10:31:07.68,cam1,0,0,0,0,0,1
10:14:30.28,cam2,0,0,0,0,0,1
10:00:34.47,cam3,2,1,1,0,1,1
10:31:36.91,cam1,0,0,0,0,0,0
10:14:52.76,cam2,0,0,0,0,0,0
10:00:53.58,cam3,1,0,1,0,0,0
10:31:59.39,cam1,2,0,2,0,2,1
10:15:14.88,cam2,0,0,0,0,0,1
